learner_id,date,kpi_value
L002364,10/3/2025,51.7
L002426,9/17/2025,67.82
L000662,1/28/2026,72.53
L000773,2/20/2025,54.98
L000294,10/22/2025,53.52
L000380,6/4/2025,54.1
L000608,8/9/2025,55.35
L002590,6/2/2025,62.17
L002048,9/27/2025,68.21
L000832,8/23/2025,75.75
L000021,10/4/2025,64.41
L000581,5/6/2025,68.5
L000331,3/15/2025,51.46
L000168,11/19/2025,73.85
L000909,12/31/2025,67.91
L002979,8/10/2025,60.62
L001994,2/12/2025,62.5
L002363,6/26/2025,60.19
L002919,8/31/2025,89.56
L002093,10/29/2025,59.13
L000355,8/19/2025,85.18
L001847,1/22/2025,64.13
L000869,6/13/2025,62.22
L001942,1/21/2026,82.06
L001183,1/25/2026,78.36
L001127,10/22/2025,80.8
L002738,1/22/2025,60.06
L001418,9/20/2025,74.27
L002226,11/5/2025,77.1
L002962,6/28/2025,78.5
L000772,8/22/2025,78.24
L000031,1/19/2025,53.73
L000789,1/18/2025,63.8
L002220,3/2/2025,52.74
L002544,1/30/2025,63.48
L001351,2/9/2025,67.81
L001682,8/12/2025,72.6
L002442,1/18/2026,64.4
L000186,6/8/2025,68.33
L000773,1/8/2026,70
L001379,1/12/2026,64.65
L002970,11/28/2025,68.4
L001841,9/18/2025,54.4
L001265,11/24/2025,89.13
L002822,8/20/2025,81.73
L001869,7/12/2025,69.06
L000060,1/8/2025,62.05
L001060,6/12/2025,68.56
L001110,6/20/2025,66.46
L000158,1/19/2026,65.41
L001034,1/4/2025,49.93
L002757,3/12/2025,55.57
L002991,1/28/2026,53.17
L002981,12/8/2025,68.5
L000760,8/29/2025,93.41
L001717,1/6/2025,58.24
L001627,4/8/2025,64.96
L000257,12/17/2025,69.13
L001826,4/19/2025,55.31
L001972,11/13/2025,78.5
L001199,11/14/2025,86.5
L000357,7/29/2025,60.67
L000245,3/2/2025,51.97
L001302,4/29/2025,54.86
L000485,12/15/2025,79.89
L002908,5/31/2025,59.48
L000634,1/2/2026,81.42
L000418,2/19/2025,64.24
L000755,3/23/2025,53.37
L001861,6/10/2025,67.44
L000625,8/16/2025,87.91
L001885,12/1/2025,81.14
L002870,10/22/2025,80.02
L002588,1/4/2026,53.76
L001255,4/8/2025,64.31
L002404,3/29/2025,56.23
L002631,11/16/2025,80.17
L002586,11/27/2025,75.01
L002288,12/4/2025,79.13
L000521,9/20/2025,77.96
L000528,10/11/2025,75.01
L001768,8/20/2025,79.54
L001388,1/8/2026,61.14
L001227,3/15/2025,62.76
L002492,7/19/2025,54.46
L002599,1/18/2025,65.78
L002780,2/4/2025,63.17
L000232,1/28/2025,51.44
L002519,5/31/2025,65.84
L000009,8/2/2025,87.71
L001439,2/15/2025,67.98
L002619,10/30/2025,81.29
L000433,2/27/2025,58.71
L000945,11/2/2025,92.84
L000487,4/22/2025,52.53
L002403,11/24/2025,58.69
L001505,12/22/2025,81.36
L000208,11/24/2025,90.47
L002689,1/22/2026,87.41
L001245,7/20/2025,78.79
L001540,9/7/2025,65.88
L000304,6/29/2025,56.36
L002561,8/28/2025,63.64
L001383,5/3/2025,56.18
L001265,7/21/2025,51.77
L000129,4/30/2025,64.51
L001761,12/27/2025,84.99
L000855,6/28/2025,66.68
L000178,8/10/2025,71.01
L002742,1/31/2026,62.53
L000344,5/27/2025,52.42
L000763,10/13/2025,86.31
L001094,12/25/2025,81.61
L000906,4/12/2025,58.7
L000440,12/14/2025,73.83
L001848,6/27/2025,63.97
L002457,8/9/2025,51.35
L001992,5/5/2025,66.05
L000032,9/12/2025,80.82
L000086,6/25/2025,72.78
L000486,9/9/2025,67.87
L002930,9/8/2025,77.32
L000619,5/10/2025,61.32
L000117,12/8/2025,58.72
L002067,7/8/2025,63.27
L001171,10/24/2025,49.09
L000680,9/28/2025,78.15
L001732,11/11/2025,57.09
L001030,6/5/2025,68.17
L000895,4/28/2025,66.63
L001466,1/21/2026,55.47
L000984,3/9/2025,70.01
L000872,5/9/2025,66.3
L002118,1/16/2025,50.58
L000880,1/28/2025,51.98
L000664,5/31/2025,53.51
L001704,12/13/2025,55.67
L002508,6/12/2025,65.13
L001578,7/20/2025,85.65
L000590,8/14/2025,74.05
L001581,12/29/2025,75.44
L002490,2/3/2025,56.43
L000762,11/21/2025,84.68
L000427,7/20/2025,49.98
L001491,9/25/2025,59.86
L002932,3/11/2025,67.26
L001965,8/29/2025,54.37
L000371,9/19/2025,67.49
L001930,5/31/2025,57.5
L001266,1/6/2025,54.48
L000443,10/24/2025,57.51
L000376,10/26/2025,86.66
L000956,11/1/2025,82.13
L000382,6/14/2025,52.85
L001281,8/17/2025,82.2
L001881,8/13/2025,86.98
L002717,4/9/2025,56.34
L001795,4/22/2025,52.54
L002236,2/27/2025,54.75
L000899,10/31/2025,71.65
L002358,6/18/2025,66.07
L000368,11/8/2025,77.76
L002487,11/28/2025,49.82
L001284,1/14/2025,64.82
L001552,2/20/2025,71.2
L002508,8/3/2025,61.57
L000571,7/25/2025,76.95
L000646,7/5/2025,68.7
L002281,11/8/2025,50.87
L000480,4/29/2025,53.77
L001060,9/3/2025,65.57
L000192,2/9/2025,55.15
L001788,2/16/2025,56.56
L001581,5/17/2025,67.79
L002744,7/2/2025,53.01
L001890,4/28/2025,56.23
L002792,3/31/2025,69.38
L001286,1/20/2026,63.26
L000568,6/8/2025,64.28
L002045,11/7/2025,68
L001729,11/24/2025,53.15
L000214,6/7/2025,66.57
L002781,3/12/2025,53.31
L002121,11/5/2025,67
L001915,6/16/2025,74.08
L000791,8/19/2025,78.88
L000974,9/19/2025,77.88
L002848,11/1/2025,75.45
L002730,11/30/2025,79.37
L000527,1/27/2025,58.37
L001644,8/16/2025,65.86
L000769,1/10/2025,51.02
L000861,8/22/2025,62.2
L001433,4/13/2025,67.26
L001348,4/30/2025,65.91
L000591,1/18/2026,83.96
L000903,10/13/2025,74.92
L002061,9/30/2025,65.18
L002365,3/30/2025,54.15
L001149,3/8/2025,63.36
L002449,10/21/2025,55.96
L002585,5/15/2025,54.43
L002238,7/21/2025,73.2
L002888,2/2/2025,61.41
L000072,3/1/2025,65.8
L001085,10/16/2025,71
L000954,5/31/2025,67.19
L000742,4/11/2025,51.97
L001356,10/24/2025,74.76
L001818,11/25/2025,74.59
L002592,11/16/2025,81.53
L002337,1/23/2026,73.24
L002124,3/14/2025,59.85
L002374,4/14/2025,67.06
L001394,3/12/2025,66.85
L001031,6/14/2025,67.17
L000805,2/13/2025,55.71
L000936,1/27/2025,64.82
L000289,10/17/2025,69.15
L000931,2/1/2025,57.1
L001177,10/6/2025,75.84
L001755,6/16/2025,62.47
L000867,1/2/2025,66.86
L000018,4/24/2025,54.85
L000351,7/23/2025,82.68
L002618,12/15/2025,83.11
L001119,1/22/2025,63.7
L001247,2/6/2025,52.5
L000929,11/16/2025,69.9
L002291,11/12/2025,72.71
L001718,4/5/2025,50.62
L000080,10/23/2025,84.39
L002592,1/1/2026,89.38
L000032,10/25/2025,75.35
L000146,12/29/2025,57.1
L000633,6/13/2025,67.07
L000492,8/13/2025,84.25
L002043,11/14/2025,86
L000022,8/13/2025,83.19
L000046,3/16/2025,61.21
L002042,7/26/2025,71.76
L000616,9/25/2025,80.23
L001988,1/27/2025,68.06
L001248,3/8/2025,52.67
L002412,9/24/2025,82.33
L001226,3/26/2025,62.83
L002698,4/30/2025,69.3
L000593,3/23/2025,51.06
L000088,12/27/2025,94.06
L002901,12/8/2025,85.51
L001784,1/29/2025,62.44
L002463,9/7/2025,82.92
L000315,4/8/2025,66.72
L002805,11/22/2025,81.6
L002488,2/15/2025,61.86
L002505,3/15/2025,56
L002535,1/5/2026,68.79
L000126,5/9/2025,53.31
L002675,1/22/2025,51.91
L000705,12/17/2025,72.72
L002930,3/9/2025,65.94
L002398,9/17/2025,76.66
L000631,4/19/2025,51.54
L002386,5/14/2025,61.59
L001851,3/29/2025,63.53
L002118,1/21/2026,56.29
L002073,5/23/2025,59.04
L002249,1/1/2026,90.16
L001529,1/6/2025,68.68
L001575,1/16/2026,69.76
L000199,3/27/2025,55.27
L001316,1/29/2026,86.79
L000716,7/10/2025,63.22
L002847,1/16/2025,61.93
L000540,5/4/2025,57.95
L001545,3/29/2025,53.46
L001862,3/12/2025,68.63
L001533,2/12/2025,56.22
L000879,2/17/2025,53.49
L000876,1/13/2025,62.06
L002366,10/8/2025,49
L000336,9/22/2025,89.14
L002954,8/27/2025,54.06
L002246,8/1/2025,68.44
L001682,7/7/2025,79.31
L001976,4/10/2025,53.76
L002728,12/14/2025,73.63
L001138,10/5/2025,52.9
L002225,3/6/2025,59.47
L002128,11/17/2025,55.98
L000773,3/14/2025,50.67
L002074,5/28/2025,54.32
L002023,3/13/2025,57.47
L000649,9/4/2025,82.2
L002585,12/17/2025,88.86
L001094,4/11/2025,49.99
L001402,8/6/2025,51.84
L000943,1/19/2026,58.56
L001654,12/25/2025,85.27
L000211,9/8/2025,87.7
L002381,5/15/2025,66.51
L000156,3/16/2025,50.26
L000431,5/16/2025,68.5
L001273,1/30/2025,68.05
L002750,5/10/2025,64.8
L000387,10/9/2025,85.91
L002466,1/25/2025,59.13
L000794,7/7/2025,81.65
L000750,4/20/2025,51.96
L001114,12/9/2025,84.17
L001265,2/26/2025,65.33
L002845,1/11/2026,76.25
L001093,11/26/2025,69.92
L002926,5/3/2025,54.02
L001059,1/20/2025,66.86
L002959,9/10/2025,55.15
L001825,1/9/2025,66.45
L001969,6/9/2025,53.22
L002888,5/18/2025,67.74
L002957,1/5/2025,57
L002504,4/10/2025,53.35
L002417,8/31/2025,87.9
L000905,1/17/2026,78
L001724,12/25/2025,91.5
L002564,1/16/2025,53.95
L000066,1/15/2026,75.28
L000793,9/4/2025,64.02
L001182,2/23/2025,50.07
L002300,7/5/2025,76.57
L002606,1/14/2025,69.39
L000263,9/23/2025,75.01
L000493,1/25/2026,51.05
L001944,12/20/2025,66.79
L002485,1/10/2026,85.46
L002099,10/20/2025,66.71
L001447,5/21/2025,50.81
L000645,1/12/2026,70.93
L001788,9/19/2025,86.66
L001737,5/23/2025,68.05
L002985,4/16/2025,54.87
L000548,12/3/2025,69.17
L000689,9/8/2025,82.42
L002864,11/1/2025,65.17
L001838,10/2/2025,79.2
L001229,12/14/2025,55.73
L002688,2/13/2025,63.86
L001514,7/1/2025,68.9
L001676,1/18/2025,53.4
L000381,6/1/2025,55.51
L000427,1/17/2026,59.57
L002045,12/27/2025,57.24
L001976,1/5/2025,68.48
L000511,1/21/2026,71.04
L002629,11/18/2025,
L000385,12/1/2025,83.51
L002934,7/28/2025,85.1
L002783,1/16/2025,51.23
L000796,3/5/2025,53.23
L002089,11/16/2025,67.13
L001269,2/25/2025,65.28
L000604,1/15/2025,68.1
L001859,12/20/2025,61.41
L001122,10/2/2025,62.9
L001052,4/6/2025,66.52
L000147,1/27/2025,70.14
L000783,2/4/2025,57.92
L002521,1/27/2025,57.61
L000666,12/4/2025,52.94
L002989,9/16/2025,82.46
L002441,2/19/2025,68.42
L002865,1/31/2026,86.06
L002922,6/1/2025,50.63
L000972,12/17/2025,63.8
L000532,8/11/2025,80.85
L001572,12/5/2025,79.71
L000038,4/16/2025,50.95
L000082,3/28/2025,55.67
L000627,2/6/2025,58.34
L001668,1/11/2026,80.82
L001049,12/3/2025,77.27
L000134,6/11/2025,66.83
L000164,8/20/2025,78.98
L002687,8/5/2025,64.57
L001209,1/10/2025,53.31
L001321,11/3/2025,60.89
L002907,8/7/2025,85.18
L001113,1/17/2026,55.6
L002263,7/2/2025,71.02
L000093,10/4/2025,90.76
L001454,4/14/2025,65.08
L002948,9/17/2025,76.09
L001200,4/21/2025,56.06
L000587,6/24/2025,53.04
L001319,5/19/2025,55.92
L000144,7/23/2025,70
L001735,4/3/2025,63.84
L000165,9/22/2025,71.78
L001945,1/27/2026,85.22
L001843,7/24/2025,71.9
L001818,10/19/2025,76.75
L001460,1/12/2025,57.02
L000566,3/8/2025,54.39
L001285,8/19/2025,
L001083,6/15/2025,52.75
L001679,10/23/2025,78.05
L002864,8/8/2025,71.11
L002492,5/4/2025,63.07
L001346,1/1/2026,79.2
L001514,8/10/2025,88.57
L001579,1/27/2026,68.06
L001745,1/24/2025,66.98
L000191,6/8/2025,53.05
L001426,1/23/2025,56.36
L002855,3/26/2025,54.75
L001271,3/15/2025,61.84
L000834,7/26/2025,85.24
L001872,8/26/2025,81.18
L000226,9/16/2025,74.04
L002696,7/11/2025,78.57
L001651,4/3/2025,66.61
L001989,4/14/2025,51.12
L002413,7/27/2025,62.19
L000780,8/9/2025,78.62
L000978,12/9/2025,85.84
L002846,5/23/2025,67.18
L002229,1/5/2025,67.86
L000678,10/6/2025,86.82
L002263,8/10/2025,79.26
L000682,4/14/2025,69.8
L001572,5/4/2025,64.98
L000872,3/3/2025,64.53
L001070,1/26/2026,76.71
L002160,8/14/2025,87.68
L002159,6/3/2025,81.13
L001224,2/1/2025,61.23
L002188,10/23/2025,82.2
L001042,2/10/2025,69.33
L001374,5/30/2025,70.01
L001963,10/28/2025,77.23
L000958,1/4/2026,68.83
L002020,4/17/2025,55.14
L000853,11/24/2025,70.13
L002711,8/20/2025,53.55
L001614,6/15/2025,51.74
L002969,1/6/2025,60.79
L001994,7/14/2025,54.46
L000512,1/17/2025,67.21
L001406,8/27/2025,85.53
L000304,11/7/2025,57.81
L002421,9/17/2025,87.62
L000328,9/14/2025,52.55
L002404,12/26/2025,78.95
L002299,1/8/2025,56.06
L000444,1/3/2025,56.36
L001379,2/1/2026,57.25
L001177,1/27/2026,89.07
L001531,9/16/2025,78.68
L001008,5/28/2025,64.77
L000843,6/3/2025,59.83
L002339,12/7/2025,86.58
L000137,6/2/2025,82.78
L002385,10/20/2025,83.72
L001873,10/5/2025,67.86
L001505,4/15/2025,62.4
L002146,7/11/2025,77.97
L001722,6/2/2025,50.38
L000677,12/7/2025,71.55
L000930,11/17/2025,74.22
L000050,1/13/2025,55.37
L000873,9/11/2025,91.09
L001219,10/23/2025,90.53
L000609,2/15/2025,56.26
L001884,8/13/2025,86.13
L000913,1/25/2025,54.7
L001997,5/21/2025,57.23
L002067,2/23/2025,52.5
L001499,1/18/2025,60.19
L001663,1/23/2025,65.26
L002965,4/16/2025,59.52
L002976,11/11/2025,77.29
L000880,1/5/2026,80.04
L000714,2/21/2025,67.81
L000053,5/18/2025,68.02
L001473,5/1/2025,59.24
L001108,1/18/2026,75.47
L000105,1/1/2026,69.03
L001158,8/21/2025,67.2
L001684,8/12/2025,75.81
L000545,1/15/2026,80.62
L002422,12/2/2025,76.02
L002383,9/25/2025,60.96
L002874,1/17/2026,60.25
L000409,3/3/2025,63.44
L002866,7/9/2025,86.26
L002021,11/15/2025,72.7
L002581,11/3/2025,66.74
L002888,7/21/2025,82.47
L000415,1/18/2025,55.34
L002616,1/13/2025,60.33
L001213,3/5/2025,67.4
L002776,5/10/2025,68.02
L000213,1/5/2026,87.45
L001793,1/6/2025,61.44
L001308,10/17/2025,81.88
L002188,12/19/2025,76.14
L002791,8/21/2025,85.83
L002861,5/26/2025,52.82
L001454,2/26/2025,68.9
L001144,10/29/2025,76.7
L000777,2/13/2025,52.46
L000869,7/9/2025,66.78
L000686,10/25/2025,74.91
L000273,10/18/2025,74.63
L001901,6/23/2025,56.46
L002010,10/13/2025,69.49
L001106,11/16/2025,74.92
L001002,6/18/2025,65.51
L001593,5/6/2025,52.21
L000730,8/30/2025,89.4
L000691,12/2/2025,56.11
L000289,12/22/2025,61.01
L000921,1/16/2026,79.18
L000784,3/26/2025,61.92
L002873,5/29/2025,55.61
L001919,1/9/2025,66.85
L000329,1/11/2025,53.1
L000690,7/24/2025,63.8
L001354,11/8/2025,65.88
L001821,7/22/2025,64.05
L000365,7/15/2025,69.32
L000395,1/10/2025,61.08
L000787,1/26/2026,75.1
L002347,6/21/2025,50.26
L000917,3/3/2025,58.39
L000581,6/15/2025,64.2
L000733,7/1/2025,57.9
L001839,12/30/2025,78.75
L000108,5/18/2025,54.99
L002454,12/5/2025,76.25
L001596,2/10/2025,63.11
L002488,10/13/2025,62.93
L000147,2/10/2025,60.41
L000488,3/29/2025,56.94
L000444,5/12/2025,63.53
L000567,1/16/2026,61.98
L001413,12/21/2025,88.53
L001129,3/6/2025,62.62
L001846,8/19/2025,77.49
L000402,6/21/2025,87.72
L002910,10/12/2025,68.85
L002072,7/30/2025,66.8
L001918,3/19/2025,51.96
L001870,2/6/2025,68.06
L001432,5/17/2025,61.46
L002810,8/2/2025,69.67
L001139,8/29/2025,71.75
L001515,11/22/2025,68.88
L002615,7/24/2025,67.94
L001688,11/17/2025,53.32
L001985,8/8/2025,79.43
L001079,8/2/2025,81.28
L001946,8/22/2025,73.63
L000701,9/25/2025,66.04
L001540,12/6/2025,52.61
L001771,2/2/2025,60.78
L000655,3/29/2025,66.96
L002129,4/28/2025,60.71
L002645,5/4/2025,54.57
L001393,1/8/2026,88.59
L000850,11/23/2025,79.57
L000154,10/4/2025,81.83
L002427,11/5/2025,74.21
L002585,3/22/2025,61.12
L000373,1/26/2025,57.44
L002545,9/21/2025,75.4
L001351,5/5/2025,58.15
L001109,4/29/2025,66.79
L002496,1/17/2026,87.83
L001731,4/9/2025,54.65
L001901,4/25/2025,71.55
L002426,8/6/2025,63.31
L001958,10/21/2025,81.83
L000392,8/29/2025,62.8
L001495,1/23/2026,81.73
L001917,8/2/2025,75.77
L002244,3/8/2025,62.04
L002034,10/31/2025,79.95
L002023,8/15/2025,69.99
L002457,11/30/2025,61.74
L001438,12/26/2025,87.54
L001249,12/22/2025,59.92
L000982,10/4/2025,72.44
L000222,2/6/2025,59.33
L000582,2/18/2025,55.29
L000091,4/1/2025,62.54
L002761,6/6/2025,59.94
L001501,1/22/2025,63.93
L001406,6/8/2025,49.34
L001700,4/2/2025,57.96
L001779,5/18/2025,63.81
L000890,9/13/2025,62.73
L002938,1/4/2026,59.73
L002500,7/23/2025,51.03
L000091,9/27/2025,92.94
L002146,8/19/2025,74.04
L000974,8/23/2025,86.05
L000358,8/22/2025,65.19
L002640,2/26/2025,62.15
L000077,11/6/2025,84.96
L001301,2/17/2025,69.49
L000874,9/21/2025,88.84
L002632,6/25/2025,62.78
L001745,3/29/2025,56.28
L001035,6/11/2025,65.18
L001459,9/14/2025,62.97
L000276,6/29/2025,62.03
L001066,4/6/2025,55.94
L001365,9/9/2025,55.95
L001533,11/14/2025,81.89
L002651,7/9/2025,85.73
L000220,5/22/2025,66.85
L001458,7/31/2025,59.41
L001759,4/14/2025,54.36
L001236,4/16/2025,60.55
L002857,2/28/2025,59.02
L001070,7/3/2025,72.37
L001917,10/22/2025,89.39
L001555,5/26/2025,52.41
L000895,8/25/2025,89.95
L001487,1/8/2026,85.76
L002990,5/30/2025,60.22
L000295,9/29/2025,76.53
L000867,1/29/2026,85.54
L001610,7/9/2025,69.49
L001234,12/1/2025,93.79
L001170,7/31/2025,57.36
L001280,11/2/2025,74.96
L001609,5/3/2025,50.15
L000305,11/9/2025,65.11
L000989,1/5/2025,60.59
L000038,10/25/2025,88.56
L001219,1/30/2026,79.85
L000136,5/3/2025,61.71
L000894,3/26/2025,55.15
L002800,7/27/2025,71.99
L001735,1/22/2026,84.07
L000596,1/16/2026,91.93
L002908,12/19/2025,72.23
L000630,6/28/2025,77.5
L002980,9/29/2025,64.11
L000381,12/14/2025,63.16
L001907,9/15/2025,76.15
L001887,6/29/2025,64.07
L002047,9/17/2025,64.59
L000181,5/6/2025,58.97
L000531,4/9/2025,65.67
L002376,1/12/2025,54.1
L002574,4/8/2025,54.09
L000407,6/30/2025,56.93
L000990,5/9/2025,51.09
L000507,4/9/2025,56.34
L002145,9/9/2025,53.1
L002632,8/5/2025,53.46
L001953,10/13/2025,74.33
L001729,1/16/2026,65.74
L000426,6/7/2025,52.65
L001920,7/17/2025,82.51
L001152,9/4/2025,83.3
L000358,9/21/2025,64.52
L001519,3/30/2025,62.22
L001410,4/20/2025,52.96
L001414,2/4/2025,61.55
L001113,7/9/2025,65.3
L001778,1/26/2025,51.89
L002386,7/7/2025,56.88
L002366,10/5/2025,68.56
L002482,1/10/2026,65.88
L001935,6/29/2025,66.13
L002930,1/29/2026,83.02
L000836,1/16/2025,68.83
L002240,7/2/2025,61.06
L000679,1/18/2025,67.49
L000167,6/27/2025,72.45
L001020,5/1/2025,62.56
L002822,5/12/2025,67.35
L000544,6/12/2025,62.08
L002597,10/4/2025,75.11
L002201,5/3/2025,64.58
L000564,12/11/2025,51.95
L000628,8/17/2025,87.89
L000862,9/22/2025,88.11
L002096,2/12/2025,62.75
L002876,1/12/2026,89.92
L001225,4/27/2025,55.26
L001306,6/22/2025,54.77
L000515,2/5/2025,59.08
L000253,11/19/2025,71.99
L000554,5/13/2025,59.06
L000093,10/1/2025,67.4
L000283,1/12/2025,69.76
L002152,6/12/2025,57.5
L002280,1/31/2026,68.43
L000440,9/9/2025,67.68
L002816,7/13/2025,53.6
L001227,6/26/2025,64.78
L000590,2/11/2025,60.57
L002162,11/29/2025,63.73
L001714,1/11/2026,75.45
L001299,2/12/2025,55.64
L000424,12/31/2025,83.36
L000836,7/13/2025,67.96
L002936,1/16/2026,62.63
L002429,11/27/2025,84.74
L000527,12/28/2025,74.21
L001423,10/18/2025,62.18
L001382,7/19/2025,81.04
L001762,2/26/2025,57.09
L000932,9/12/2025,68.08
L002904,4/19/2025,61.64
L002844,6/13/2025,89.4
L001098,2/16/2025,61.76
L001673,11/28/2025,85.74
L001860,2/17/2025,55.44
L002822,4/22/2025,66.56
L002116,6/15/2025,53.9
L000259,9/27/2025,64.88
L002294,1/5/2026,81.84
L002658,6/23/2025,86.21
L001117,12/10/2025,88.9
L002460,3/24/2025,51.09
L000212,6/24/2025,52.11
L002667,5/9/2025,70.25
L000958,5/8/2025,62.54
L000284,4/17/2025,59.66
L002843,4/29/2025,52.55
L000358,12/23/2025,51.24
L002658,4/13/2025,59.64
L000396,5/13/2025,52.1
L002646,5/22/2025,49.58
L002158,8/4/2025,92.8
L000880,4/19/2025,54.28
L000104,11/17/2025,51.93
L001673,4/4/2025,64.73
L002818,5/25/2025,58.03
L002396,12/30/2025,77.59
L002748,7/6/2025,67.48
L000830,1/7/2026,67.09
L000909,9/30/2025,
L001086,3/19/2025,52.41
L000443,4/16/2025,52.83
L002112,5/23/2025,54.13
L000104,11/18/2025,51.55
L001052,11/22/2025,90.68
L001897,12/19/2025,90.11
L001899,5/16/2025,58.3
L002377,1/1/2025,68.51
L002837,6/4/2025,69.72
L001798,12/28/2025,65.3
L002182,9/3/2025,72.1
L002949,5/1/2025,66.43
L000244,3/12/2025,59.94
L000009,9/13/2025,81.08
L000211,2/21/2025,51.54
L000722,11/28/2025,69.13
L001293,6/2/2025,54.57
L000671,12/20/2025,66.4
L000167,1/24/2025,58.05
L001771,2/6/2025,57.82
L000777,10/14/2025,77.03
L002458,10/24/2025,80.59
L001240,2/28/2025,52.29
L001206,11/4/2025,81.68
L002839,6/14/2025,63.2
L001315,2/18/2025,51.43
L002919,6/13/2025,54.8
L002798,9/21/2025,78.88
L000539,7/9/2025,62.04
L001106,1/17/2025,54.65
L000179,1/24/2025,60.02
L002458,7/7/2025,79.67
L000632,2/19/2025,65.41
L000293,7/5/2025,55.71
L002344,8/17/2025,87.33
L000509,2/6/2025,59.66
L002885,9/13/2025,89.81
L002450,9/30/2025,81.84
L000934,4/16/2025,59.18
L002266,6/28/2025,79.68
L000317,12/7/2025,87.92
L000180,8/28/2025,72.06
L000448,7/17/2025,54.11
L002247,8/23/2025,63.01
L000892,9/14/2025,72.55
L002558,9/14/2025,66.33
L002612,12/14/2025,87.4
L002750,3/5/2025,65.76
L002510,12/23/2025,84.51
L002533,1/5/2026,84.68
L001091,2/23/2025,54.29
L001370,1/23/2026,85.24
L002813,12/27/2025,76.4
L001915,12/23/2025,86.73
L001246,1/12/2026,79.08
L001297,4/26/2025,60.54
L001161,6/25/2025,51.09
L002086,4/15/2025,66.65
L002813,2/13/2025,64.91
L002826,3/17/2025,53.14
L001527,1/20/2026,58.17
L000849,10/5/2025,57.3
L000511,1/16/2025,51.66
L000517,3/2/2025,56.51
L000420,5/7/2025,66.8
L002733,1/6/2025,57.11
L002782,5/25/2025,60.92
L002660,5/14/2025,61.91
L000656,11/29/2025,51.19
L002166,4/6/2025,65.36
L000830,12/8/2025,61.61
L001671,11/8/2025,74.56
L002317,10/19/2025,80.39
L002565,10/4/2025,79.66
L002831,2/1/2025,69.16
L001396,7/25/2025,70.93
L001781,9/26/2025,83.53
L000570,1/3/2025,60.5
L001270,4/12/2025,59.53
L002178,9/21/2025,67.83
L002354,9/16/2025,60.15
L001041,3/14/2025,60.3
L002378,7/6/2025,69.94
L000010,6/29/2025,77.9
L000085,3/2/2025,55.18
L001895,11/10/2025,79.87
L001724,11/10/2025,84.43
L001371,12/29/2025,79.09
L001079,1/20/2026,68.67
L002037,1/11/2025,52.28
L000098,8/14/2025,57.05
L002509,7/13/2025,68.77
L002953,11/16/2025,79.57
L002252,5/10/2025,65.71
L002034,1/4/2026,75.29
L001628,9/20/2025,73.89
L000620,1/17/2026,77.68
L000224,7/25/2025,84.22
L001266,1/10/2026,89.3
L000111,1/6/2026,80.22
L001072,8/11/2025,64.14
L001071,1/6/2026,79.06
L001436,8/21/2025,73.28
