course_id,lift,p_value,avg_score,score_impact,insights,meaning,recommendation
M0027,0.0727,0.0035,30.2,-0.0431,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0028,0.017,0.3197,38.0,0.1736,Inconclusive Results (No Significant Change),No statistically significant change detected.,Collect more data; Re-evaluate in next quarter.
M0029,0.1204,0.0,36.8,-0.1831,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0030,0.148,0.0,35.1,0.1539,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0031,0.1615,0.0,31.6,0.1199,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0032,0.1579,0.0,29.2,-0.0794,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0033,0.1462,0.0,33.3,0.4706,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0034,0.0682,0.0005,44.2,0.2449,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0035,0.1695,0.0,35.9,-0.2586,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0036,0.0915,0.0,26.5,0.7456,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0037,0.1304,0.0,37.5,-0.376,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0038,0.113,0.0,33.2,-0.5075,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0039,0.1509,0.0,28.4,0.5648,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0040,0.1565,0.0,42.7,-0.0587,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0041,0.1231,0.0,39.5,-0.2447,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0042,0.2148,0.0,29.6,-0.265,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0043,0.1079,0.0,24.2,-0.0876,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0044,0.0869,0.0,37.9,0.012,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0045,0.1125,0.0,33.9,-0.1249,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0046,0.084,0.0018,33.9,-0.1574,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0047,0.068,0.0001,30.4,-0.4616,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0048,0.1237,0.0,42.8,-0.1263,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0049,0.0985,0.0056,23.3,-0.0144,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0050,0.1115,0.0,35.3,-0.2822,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0051,0.0595,0.016,33.7,-0.3796,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0052,0.0939,0.0,28.5,0.5625,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0053,0.1543,0.0,39.9,0.2651,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0054,0.1305,0.0,41.8,-0.1751,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0055,0.1155,0.0,34.5,-0.0337,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0056,0.0794,0.0025,38.6,-0.3945,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0057,0.1542,0.0,39.1,-0.1087,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0058,0.1397,0.0,35.5,0.1661,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0059,0.1354,0.0,27.4,0.0218,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0060,0.0721,0.0024,35.1,-0.4401,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0061,0.1649,0.0,32.3,0.2467,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0062,0.1286,0.0,29.1,-0.3948,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0063,0.0187,0.5055,38.0,0.0,Inconclusive Results (No Significant Change),No statistically significant change detected.,Collect more data; Re-evaluate in next quarter.
M0064,0.1658,0.0,32.3,-0.6438,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0065,0.108,0.0,25.6,-0.4874,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0066,0.1721,0.0,40.5,-0.2629,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0067,0.0735,0.0,32.4,-0.0329,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0068,0.0951,0.0004,43.8,-0.206,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0069,0.1355,0.0,25.8,-0.0124,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0070,0.1724,0.0,46.2,-0.1482,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0071,0.0684,0.0025,44.9,-0.015,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0072,0.0984,0.0,24.2,0.2576,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0073,0.1263,0.0,33.7,-0.1695,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0074,0.1463,0.0,40.2,-0.3761,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0075,0.1811,0.0,46.3,-0.0993,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0076,0.0976,0.0,36.6,0.2554,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0077,0.085,0.0,36.1,0.222,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0078,0.0796,0.0008,38.5,0.2535,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0079,0.1298,0.0,30.9,-0.4481,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0080,0.0704,0.0099,33.6,0.5055,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0081,0.0907,0.0007,35.5,-0.0103,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0082,0.1228,0.0,29.4,0.4344,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0083,0.0589,0.0034,28.9,0.0507,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0084,0.1086,0.0,24.8,0.1114,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0085,0.0958,0.0,35.3,0.0943,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0086,0.0441,0.0518,37.2,-0.1582,Inconclusive Results (No Significant Change),No statistically significant change detected.,Collect more data; Re-evaluate in next quarter.
M0087,0.1465,0.0,31.6,0.0292,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0088,0.1402,0.0,36.0,-0.2363,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0089,0.1747,0.0,34.7,-0.1693,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0090,0.1765,0.0,33.5,-0.2931,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0091,0.144,0.0,31.0,-0.4128,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0092,0.1175,0.0,41.4,0.1428,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0093,0.0908,0.0001,27.6,0.1834,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0094,0.1653,0.0,31.7,0.1858,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0095,0.1319,0.0,34.9,0.0039,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0096,0.1335,0.0,32.2,0.2701,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0097,0.0204,0.3971,25.1,-0.3588,Inconclusive Results (No Significant Change),No statistically significant change detected.,Collect more data; Re-evaluate in next quarter.
M0098,0.0902,0.0001,32.2,0.1516,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0099,0.0959,0.0,29.6,-0.3029,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0100,0.1492,0.0,32.5,-0.2529,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0101,0.091,0.0,34.0,0.0327,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0102,0.0973,0.0,26.4,0.4595,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0103,0.1495,0.0,42.2,-0.3701,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0104,0.0816,0.0,39.6,0.0801,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0105,0.1166,0.0,37.4,-0.1993,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0106,0.1158,0.0,34.1,-0.1136,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0107,0.146,0.0,38.1,0.3284,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0108,0.1563,0.0,42.7,0.2268,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0109,0.0749,0.0004,41.6,0.156,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0110,0.1389,0.0,30.1,-0.3364,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0111,0.1324,0.0,32.7,-0.2278,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0112,0.1347,0.0,28.9,0.2713,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0113,0.1156,0.0,38.7,-0.4017,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0114,0.1211,0.0001,39.0,0.6559,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0115,0.1758,0.0,31.2,-0.0989,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0116,0.0352,0.1785,32.3,-0.483,Inconclusive Results (No Significant Change),No statistically significant change detected.,Collect more data; Re-evaluate in next quarter.
M0117,0.0414,0.0882,27.6,0.2874,Inconclusive Results (No Significant Change),No statistically significant change detected.,Collect more data; Re-evaluate in next quarter.
M0118,0.1534,0.0,30.2,-0.5194,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0119,0.1197,0.0,29.8,-0.1512,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0120,0.0954,0.0,35.5,0.3526,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0121,0.1306,0.0,31.2,0.2161,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0122,0.1465,0.0,35.7,0.3843,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0123,0.1004,0.0005,25.9,-0.1088,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0124,0.1335,0.0,38.6,0.2668,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0125,0.0763,0.0012,40.0,0.2892,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0126,0.0586,0.0029,40.0,-0.1538,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0127,0.1405,0.0,31.8,-0.1954,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0128,0.1646,0.0,29.2,-0.203,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0129,0.0896,0.0,29.5,-0.017,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0130,0.0687,0.0015,32.3,0.1042,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0131,0.1574,0.0,37.7,0.0325,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0132,0.1574,0.0,32.2,0.2072,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0133,0.0837,0.0016,31.6,0.3475,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0134,0.1241,0.0,22.7,-0.1819,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0135,0.0475,0.3128,34.4,-0.8775,Inconclusive Results (No Significant Change),No statistically significant change detected.,Collect more data; Re-evaluate in next quarter.
M0136,0.1768,0.0,35.3,-0.372,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0137,0.1846,0.0,34.8,-0.1403,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0138,0.058,0.0039,35.6,0.0382,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0139,0.1583,0.0,44.3,-0.3004,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0140,0.1082,0.0,34.9,-0.1027,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0141,0.0757,0.0049,19.6,0.0141,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0142,0.0977,0.0,31.6,0.171,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0143,0.1029,0.0,30.0,-0.3242,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0144,0.0966,0.0,35.4,-0.4575,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0145,0.0734,0.0003,34.4,-0.0237,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0146,0.0382,0.1685,39.9,0.5075,Inconclusive Results (No Significant Change),No statistically significant change detected.,Collect more data; Re-evaluate in next quarter.
M0147,0.1687,0.0,50.4,-0.1673,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0148,0.0693,0.0009,44.3,0.2873,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0149,0.1316,0.0,31.9,-0.0715,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0150,0.1212,0.0,38.2,0.0268,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0151,0.1066,0.0,33.4,0.1946,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0152,0.0901,0.0001,28.4,-0.3071,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0153,0.1179,0.0002,39.8,0.0168,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0154,0.097,0.0037,34.9,0.2767,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0155,0.1322,0.0,25.8,-0.3924,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0156,0.1445,0.0,32.7,-0.0152,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0157,0.1824,0.0,31.2,-0.1436,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0158,0.0838,0.0011,30.8,0.4141,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0159,0.1262,0.0,32.0,0.3311,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0160,0.1558,0.0,41.3,0.3874,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0161,0.1361,0.0,33.4,-0.3557,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0162,0.1354,0.0,31.6,0.0161,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0163,0.1568,0.0,42.8,0.2473,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0164,0.1198,0.0,29.4,-0.2476,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0165,0.0642,0.0015,28.4,-0.2082,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0166,0.1588,0.0,30.9,-0.4679,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0167,0.1132,0.0,33.2,-0.06,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0168,0.16,0.0,37.8,0.6571,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0169,0.1624,0.0,35.7,-0.2089,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0170,0.0661,0.0003,40.4,-0.2898,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0171,0.247,0.0,25.3,0.0,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0172,0.0866,0.0001,25.6,-0.0056,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0173,0.1342,0.0,45.9,-0.0603,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0174,0.08,0.0027,33.7,-0.7307,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0175,0.1552,0.0,23.0,-0.3873,Exam Mismatch,"Course is effective, BUT exam scores are misleading (Negative Correlation).",URGENT: Stop using current exam for evaluation; Replace with practical project.
M0176,0.1123,0.0,39.5,-0.0077,General Improvement,Performance improved for everyone regardless of exam score.,Keep as knowledge sharing; Simplify or remove the exam to save costs.
M0177,0.1002,0.0012,36.8,0.3024,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
M0178,0.1083,0.0,31.4,0.2224,Ideal Success,High exam scores correlate with high job performance.,Scale to more teams; Use exam for promotion; Reward high scorers.
