course_id,lift,p_value,avg_score,score_impact,insights
M0034,0.0682,0.0005,44.2,0.2449,Ideal Success
M0035,0.1695,0.0,35.9,-0.2586,Exam Mismatch
M0036,0.0915,0.0,26.5,0.7456,Ideal Success
M0037,0.1304,0.0,37.5,-0.376,Exam Mismatch
M0038,0.113,0.0,33.2,-0.5075,Exam Mismatch
M0039,0.1509,0.0,28.4,0.5648,Ideal Success
M0040,0.1565,0.0,42.7,-0.0587,General Improvement
M0041,0.1231,0.0,39.5,-0.2447,Exam Mismatch
M0042,0.2148,0.0,29.6,-0.265,Exam Mismatch
M0043,0.1079,0.0,24.2,-0.0876,General Improvement
M0044,0.0869,0.0,37.9,0.012,General Improvement
M0045,0.1125,0.0,33.9,-0.1249,Exam Mismatch
M0046,0.084,0.0018,33.9,-0.1574,Exam Mismatch
M0047,0.068,0.0001,30.4,-0.4616,Exam Mismatch
M0048,0.1237,0.0,42.8,-0.1263,Exam Mismatch
M0049,0.0985,0.0056,23.3,-0.0144,General Improvement
M0050,0.1115,0.0,35.3,-0.2822,Exam Mismatch
M0051,0.0595,0.016,33.7,-0.3796,Exam Mismatch
M0052,0.0939,0.0,28.5,0.5625,Ideal Success
M0053,0.1543,0.0,39.9,0.2651,Ideal Success
M0054,0.1305,0.0,41.8,-0.1751,Exam Mismatch
M0055,0.1155,0.0,34.5,-0.0337,General Improvement
M0056,0.0794,0.0025,38.6,-0.3945,Exam Mismatch
M0057,0.1542,0.0,39.1,-0.1087,Exam Mismatch
M0058,0.1397,0.0,35.5,0.1661,Ideal Success
M0059,0.1354,0.0,27.4,0.0218,General Improvement
M0060,0.0721,0.0024,35.1,-0.4401,Exam Mismatch
M0061,0.1649,0.0,32.3,0.2467,Ideal Success
M0062,0.1286,0.0,29.1,-0.3948,Exam Mismatch
M0063,0.0187,0.5055,38.0,0.0,Inconclusive Results (No Significant Change)
M0064,0.1658,0.0,32.3,-0.6438,Exam Mismatch
M0065,0.108,0.0,25.6,-0.4874,Exam Mismatch
M0066,0.1721,0.0,40.5,-0.2629,Exam Mismatch
M0067,0.0735,0.0,32.4,-0.0329,General Improvement
M0068,0.0951,0.0004,43.8,-0.206,Exam Mismatch
M0069,0.1355,0.0,25.8,-0.0124,General Improvement
M0070,0.1724,0.0,46.2,-0.1482,Exam Mismatch
M0071,0.0684,0.0025,44.9,-0.015,General Improvement
M0072,0.0984,0.0,24.2,0.2576,Ideal Success
M0073,0.1263,0.0,33.7,-0.1695,Exam Mismatch
M0074,0.1463,0.0,40.2,-0.3761,Exam Mismatch
M0075,0.1811,0.0,46.3,-0.0993,General Improvement
M0076,0.0976,0.0,36.6,0.2554,Ideal Success
M0077,0.085,0.0,36.1,0.222,Ideal Success
M0078,0.0796,0.0008,38.5,0.2535,Ideal Success
M0079,0.1298,0.0,30.9,-0.4481,Exam Mismatch
M0080,0.0704,0.0099,33.6,0.5055,Ideal Success
M0081,0.0907,0.0007,35.5,-0.0103,General Improvement
M0082,0.1228,0.0,29.4,0.4344,Ideal Success
M0083,0.0589,0.0034,28.9,0.0507,General Improvement
M0084,0.1086,0.0,24.8,0.1114,Ideal Success
M0085,0.0958,0.0,35.3,0.0943,General Improvement
M0086,0.0441,0.0518,37.2,-0.1582,Inconclusive Results (No Significant Change)
M0087,0.1465,0.0,31.6,0.0292,General Improvement
M0088,0.1402,0.0,36.0,-0.2363,Exam Mismatch
M0089,0.1747,0.0,34.7,-0.1693,Exam Mismatch
M0090,0.1765,0.0,33.5,-0.2931,Exam Mismatch
M0091,0.144,0.0,31.0,-0.4128,Exam Mismatch
M0092,0.1175,0.0,41.4,0.1428,Ideal Success
M0093,0.0908,0.0001,27.6,0.1834,Ideal Success
M0094,0.1653,0.0,31.7,0.1858,Ideal Success
M0095,0.1319,0.0,34.9,0.0039,General Improvement
M0096,0.1335,0.0,32.2,0.2701,Ideal Success
M0097,0.0204,0.3971,25.1,-0.3588,Inconclusive Results (No Significant Change)
M0098,0.0902,0.0001,32.2,0.1516,Ideal Success
M0099,0.0959,0.0,29.6,-0.3029,Exam Mismatch
M0100,0.1492,0.0,32.5,-0.2529,Exam Mismatch
M0101,0.091,0.0,34.0,0.0327,General Improvement
M0102,0.0973,0.0,26.4,0.4595,Ideal Success
M0103,0.1495,0.0,42.2,-0.3701,Exam Mismatch
M0104,0.0816,0.0,39.6,0.0801,General Improvement
M0105,0.1166,0.0,37.4,-0.1993,Exam Mismatch
M0106,0.1158,0.0,34.1,-0.1136,Exam Mismatch
M0107,0.146,0.0,38.1,0.3284,Ideal Success
M0108,0.1563,0.0,42.7,0.2268,Ideal Success
M0109,0.0749,0.0004,41.6,0.156,Ideal Success
M0110,0.1389,0.0,30.1,-0.3364,Exam Mismatch
M0111,0.1324,0.0,32.7,-0.2278,Exam Mismatch
M0112,0.1347,0.0,28.9,0.2713,Ideal Success
M0113,0.1156,0.0,38.7,-0.4017,Exam Mismatch
M0114,0.1211,0.0001,39.0,0.6559,Ideal Success
M0115,0.1758,0.0,31.2,-0.0989,General Improvement
M0116,0.0352,0.1785,32.3,-0.483,Inconclusive Results (No Significant Change)
M0117,0.0414,0.0882,27.6,0.2874,Inconclusive Results (No Significant Change)
M0118,0.1534,0.0,30.2,-0.5194,Exam Mismatch
M0119,0.1197,0.0,29.8,-0.1512,Exam Mismatch
M0120,0.0954,0.0,35.5,0.3526,Ideal Success
M0121,0.1306,0.0,31.2,0.2161,Ideal Success
M0122,0.1465,0.0,35.7,0.3843,Ideal Success
M0123,0.1004,0.0005,25.9,-0.1088,Exam Mismatch
M0124,0.1335,0.0,38.6,0.2668,Ideal Success
M0125,0.0763,0.0012,40.0,0.2892,Ideal Success
M0126,0.0586,0.0029,40.0,-0.1538,Exam Mismatch
M0127,0.1405,0.0,31.8,-0.1954,Exam Mismatch
M0128,0.1646,0.0,29.2,-0.203,Exam Mismatch
M0129,0.0896,0.0,29.5,-0.017,General Improvement
M0130,0.0687,0.0015,32.3,0.1042,Ideal Success
M0131,0.1574,0.0,37.7,0.0325,General Improvement
M0132,0.1574,0.0,32.2,0.2072,Ideal Success
M0133,0.0837,0.0016,31.6,0.3475,Ideal Success
M0134,0.1241,0.0,22.7,-0.1819,Exam Mismatch
M0135,0.0475,0.3128,34.4,-0.8775,Inconclusive Results (No Significant Change)
M0136,0.1768,0.0,35.3,-0.372,Exam Mismatch
M0137,0.1846,0.0,34.8,-0.1403,Exam Mismatch
M0138,0.058,0.0039,35.6,0.0382,General Improvement
M0139,0.1583,0.0,44.3,-0.3004,Exam Mismatch
M0140,0.1082,0.0,34.9,-0.1027,Exam Mismatch
M0141,0.0757,0.0049,19.6,0.0141,General Improvement
M0142,0.0977,0.0,31.6,0.171,Ideal Success
M0143,0.1029,0.0,30.0,-0.3242,Exam Mismatch
M0144,0.0966,0.0,35.4,-0.4575,Exam Mismatch
M0145,0.0734,0.0003,34.4,-0.0237,General Improvement
M0146,0.0382,0.1685,39.9,0.5075,Inconclusive Results (No Significant Change)
M0147,0.1687,0.0,50.4,-0.1673,Exam Mismatch
M0148,0.0693,0.0009,44.3,0.2873,Ideal Success
M0149,0.1316,0.0,31.9,-0.0715,General Improvement
M0150,0.1212,0.0,38.2,0.0268,General Improvement
M0151,0.1066,0.0,33.4,0.1946,Ideal Success
M0152,0.0901,0.0001,28.4,-0.3071,Exam Mismatch
M0153,0.1179,0.0002,39.8,0.0168,General Improvement
M0154,0.097,0.0037,34.9,0.2767,Ideal Success
M0155,0.1322,0.0,25.8,-0.3924,Exam Mismatch
M0156,0.1445,0.0,32.7,-0.0152,General Improvement
M0157,0.1824,0.0,31.2,-0.1436,Exam Mismatch
M0158,0.0838,0.0011,30.8,0.4141,Ideal Success
M0159,0.1262,0.0,32.0,0.3311,Ideal Success
M0160,0.1558,0.0,41.3,0.3874,Ideal Success
M0161,0.1361,0.0,33.4,-0.3557,Exam Mismatch
M0162,0.1354,0.0,31.6,0.0161,General Improvement
M0163,0.1568,0.0,42.8,0.2473,Ideal Success
M0164,0.1198,0.0,29.4,-0.2476,Exam Mismatch
M0165,0.0642,0.0015,28.4,-0.2082,Exam Mismatch
M0166,0.1588,0.0,30.9,-0.4679,Exam Mismatch
M0167,0.1132,0.0,33.2,-0.06,General Improvement
M0168,0.16,0.0,37.8,0.6571,Ideal Success
M0169,0.1624,0.0,35.7,-0.2089,Exam Mismatch
M0170,0.0661,0.0003,40.4,-0.2898,Exam Mismatch
M0171,0.247,0.0,25.3,0.0,General Improvement
M0172,0.0866,0.0001,25.6,-0.0056,General Improvement
M0173,0.1342,0.0,45.9,-0.0603,General Improvement
M0174,0.08,0.0027,33.7,-0.7307,Exam Mismatch
M0175,0.1552,0.0,23.0,-0.3873,Exam Mismatch
M0176,0.1123,0.0,39.5,-0.0077,General Improvement
M0177,0.1002,0.0012,36.8,0.3024,Ideal Success
M0178,0.1083,0.0,31.4,0.2224,Ideal Success
M0179,0.1467,0.0,35.5,-0.1553,Exam Mismatch
M0180,0.1514,0.0,35.6,-0.4347,Exam Mismatch
M0181,0.1449,0.0,30.4,0.5132,Ideal Success
M0182,0.0785,0.0,39.7,0.0167,General Improvement
M0183,0.1288,0.0,42.2,-0.0924,General Improvement
M0184,0.1598,0.0,45.9,-0.3356,Exam Mismatch
M0185,0.1413,0.0,36.4,-0.0018,General Improvement
M0186,0.1121,0.0,28.8,-0.008,General Improvement
M0187,0.1477,0.0,33.6,0.1002,Ideal Success
M0188,0.0918,0.0001,44.6,-0.4601,Exam Mismatch
M0189,0.1311,0.0,34.4,-0.0003,General Improvement
M0190,0.0788,0.0002,44.5,0.4506,Ideal Success
M0191,0.0759,0.0098,32.1,-0.2125,Exam Mismatch
M0192,0.121,0.0,23.8,-0.068,General Improvement
M0193,0.1253,0.0,38.9,-0.1365,Exam Mismatch
M0194,0.1166,0.0001,30.9,-0.5542,Exam Mismatch
M0195,0.0877,0.0001,36.4,-0.3151,Exam Mismatch
M0196,0.1309,0.0,36.3,-0.0656,General Improvement
M0197,0.137,0.0,44.0,-0.0273,General Improvement
M0198,0.1248,0.0,26.1,-0.3488,Exam Mismatch
M0199,0.0975,0.0001,36.2,0.0788,General Improvement
M0200,0.1348,0.0,42.4,-0.1926,Exam Mismatch
M0201,0.1085,0.0,28.3,-0.0064,General Improvement
M0202,0.0702,0.0002,22.2,0.2867,Ideal Success
M0203,0.0889,0.0,29.9,0.0342,General Improvement
M0204,0.1278,0.0,25.8,0.4611,Ideal Success
M0205,0.1291,0.0,38.4,0.0028,General Improvement
M0206,0.1425,0.0,47.5,0.1588,Ideal Success
M0207,0.1103,0.0,43.6,0.5189,Ideal Success
M0208,0.1111,0.0,35.7,-0.1663,Exam Mismatch
M0209,0.1357,0.0,30.2,0.0658,General Improvement
M0210,0.1622,0.0,35.4,0.507,Ideal Success
M0211,0.2017,0.0,36.4,0.5812,Ideal Success
M0212,0.1326,0.0,37.7,-0.3216,Exam Mismatch
M0213,0.0993,0.0,46.5,0.1541,Ideal Success
M0214,0.0733,0.0033,41.9,-0.0067,General Improvement
M0215,0.1471,0.0,38.6,0.0754,General Improvement
M0216,0.0799,0.0,35.9,-0.2074,Exam Mismatch
M0217,0.0659,0.0061,37.4,0.183,Ideal Success
M0218,0.1771,0.0,37.8,0.4526,Ideal Success
M0219,0.0444,0.0151,32.4,0.2326,Ideal Success
M0220,0.055,0.0036,34.2,-0.0068,General Improvement
M0221,0.078,0.0002,35.3,-0.1612,Exam Mismatch
M0222,0.0948,0.0,37.4,0.0624,General Improvement
M0223,0.1146,0.0,32.1,0.006,General Improvement
M0224,0.076,0.0,37.5,-0.0404,General Improvement
M0225,0.0919,0.0,34.3,0.2083,Ideal Success
M0226,0.1319,0.0,29.3,0.3509,Ideal Success
M0227,0.1271,0.0,47.0,-0.3181,Exam Mismatch
M0228,0.069,0.0014,34.4,-0.6036,Exam Mismatch
M0229,0.1392,0.0,29.8,-0.1839,Exam Mismatch
M0230,0.1496,0.0,33.4,0.0851,General Improvement
M0231,0.1739,0.0,46.5,0.2699,Ideal Success
M0232,0.1072,0.0,38.4,-0.5149,Exam Mismatch
M0233,0.041,0.0871,35.6,-0.0529,Inconclusive Results (No Significant Change)
M0234,0.0696,0.0042,46.8,-0.0948,General Improvement
M0235,0.1207,0.0,36.7,-0.399,Exam Mismatch
M0236,0.1349,0.0,44.9,-0.4708,Exam Mismatch
M0237,0.1373,0.0,44.4,-0.2139,Exam Mismatch
M0238,0.0722,0.0119,37.2,0.1051,Ideal Success
M0239,0.1138,0.0,49.5,0.0551,General Improvement
M0240,0.1642,0.0,33.3,0.2886,Ideal Success
M0241,0.1702,0.0,34.6,-0.6637,Exam Mismatch
M0242,0.1617,0.0,39.8,-0.2175,Exam Mismatch
M0243,0.1023,0.0001,41.0,-0.1496,Exam Mismatch
M0244,0.1354,0.0,32.7,0.2103,Ideal Success
M0245,0.0768,0.0008,42.5,-0.0558,General Improvement
M0246,0.0827,0.0,31.1,-0.3694,Exam Mismatch
M0247,0.1194,0.0,24.9,0.0989,General Improvement
M0248,0.0872,0.0,37.6,0.1979,Ideal Success
M0249,0.133,0.0,41.5,-0.1322,Exam Mismatch
M0250,0.1105,0.0,37.4,0.135,Ideal Success
M0251,0.1787,0.0,31.1,-0.2419,Exam Mismatch
M0252,0.0611,0.0473,31.4,0.1983,Ideal Success
M0253,0.162,0.0,33.3,-0.025,General Improvement
M0254,0.1485,0.0,33.7,-0.3568,Exam Mismatch
M0255,0.1376,0.0,28.6,0.1781,Ideal Success
M0256,0.081,0.0,34.2,0.0692,General Improvement
M0257,0.1233,0.0,41.7,-0.1778,Exam Mismatch
M0258,0.1559,0.0,37.6,0.0664,General Improvement
M0259,0.1401,0.0,33.0,0.1717,Ideal Success
M0260,0.1401,0.0,36.0,-0.3734,Exam Mismatch
M0261,0.128,0.0,41.6,-0.0626,General Improvement
M0262,0.1289,0.0,30.1,-0.1844,Exam Mismatch
M0263,0.1735,0.0,29.8,-0.0201,General Improvement
M0264,0.1051,0.0003,35.1,0.5254,Ideal Success
M0265,0.1548,0.0,38.4,0.0327,General Improvement
M0266,0.2013,0.0,29.0,-0.0544,General Improvement
M0267,0.1,0.0,38.5,0.4512,Ideal Success
M0268,0.0365,0.085,33.2,-0.2732,Inconclusive Results (No Significant Change)
M0269,0.134,0.0,31.7,0.0228,General Improvement
M0270,0.1053,0.0,38.1,-0.1173,Exam Mismatch
M0271,0.1222,0.0,41.4,0.1943,Ideal Success
M0272,0.1996,0.0,33.8,-0.1012,Exam Mismatch
M0273,0.1496,0.0,45.3,0.035,General Improvement
M0274,0.1494,0.0,25.9,0.0417,General Improvement
M0275,0.1646,0.0,28.9,0.3199,Ideal Success
M0276,0.1128,0.0,41.9,0.2545,Ideal Success
M0277,0.0709,0.0013,33.0,-0.0159,General Improvement
M0278,0.102,0.0,25.4,-0.7062,Exam Mismatch
M0279,0.1135,0.0,31.5,0.4439,Ideal Success
M0280,0.1091,0.0,31.3,0.5769,Ideal Success
M0281,0.1182,0.0,33.1,0.1599,Ideal Success
M0282,0.137,0.0,44.2,0.162,Ideal Success
M0283,0.1765,0.0,36.4,0.2863,Ideal Success
M0284,0.1263,0.0,42.0,0.3977,Ideal Success
M0285,0.0012,0.9635,26.3,-0.6066,Inconclusive Results (No Significant Change)
M0286,0.196,0.0,32.2,0.2641,Ideal Success
M0287,0.1164,0.0,37.6,-0.2321,Exam Mismatch
M0288,0.0838,0.0,25.9,0.1201,Ideal Success
M0289,0.0914,0.0,36.1,-0.2546,Exam Mismatch
M0290,0.1152,0.0,37.8,0.0742,General Improvement
M0291,0.1452,0.0,31.1,0.401,Ideal Success
M0292,0.0934,0.0013,36.1,0.0365,General Improvement
M0293,0.1803,0.0,31.0,-0.084,General Improvement
M0294,0.0787,0.0002,35.8,0.385,Ideal Success
M0295,0.1764,0.0,39.8,-0.2439,Exam Mismatch
M0296,0.1648,0.0,38.2,-0.4401,Exam Mismatch
M0297,0.128,0.0,29.3,-0.4391,Exam Mismatch
M0298,0.14,0.0,30.0,0.5724,Ideal Success
M0299,0.1627,0.0,33.4,-0.0953,General Improvement
M0300,0.117,0.0,38.1,0.2273,Ideal Success
M0301,0.0686,0.0006,34.6,-0.105,Exam Mismatch
M0302,0.1464,0.0,33.0,-0.4406,Exam Mismatch
M0303,0.114,0.0,27.2,0.3842,Ideal Success
M0304,0.1104,0.0,32.6,0.0432,General Improvement
M0305,0.131,0.0,19.7,-0.1553,Exam Mismatch
M0306,0.0457,0.0208,38.7,-0.2556,Exam Mismatch
M0307,0.1759,0.0,33.3,-0.189,Exam Mismatch
M0308,0.1067,0.0,32.5,-0.0895,General Improvement
M0309,0.088,0.0004,47.6,-0.0472,General Improvement
M0310,0.0696,0.001,24.7,0.0609,General Improvement
M0311,0.1584,0.0,36.0,0.4089,Ideal Success
M0312,0.0263,0.2338,24.9,-0.3427,Inconclusive Results (No Significant Change)
M0313,0.0146,0.4907,40.0,0.1509,Inconclusive Results (No Significant Change)
M0314,0.0776,0.0009,36.2,0.1404,Ideal Success
M0315,0.1405,0.0,39.5,-0.1295,Exam Mismatch
M0316,0.1343,0.0,36.2,-0.3815,Exam Mismatch
M0317,0.1612,0.0,32.0,0.0852,General Improvement
M0318,0.1053,0.0,28.6,-0.1404,Exam Mismatch
M0319,0.1581,0.0,25.1,-0.1025,Exam Mismatch
M0320,0.1571,0.0,33.1,-0.1675,Exam Mismatch
M0321,0.1358,0.0,41.8,-0.0213,General Improvement
M0322,0.0761,0.001,34.9,0.1832,Ideal Success
M0323,0.1393,0.0,36.5,-0.1414,Exam Mismatch
M0324,0.1496,0.0,43.5,-0.2147,Exam Mismatch
M0325,0.0865,0.0,28.5,0.1017,Ideal Success
M0326,0.1513,0.0,31.0,-0.2902,Exam Mismatch
M0327,0.127,0.0,31.9,-0.5995,Exam Mismatch
M0328,0.117,0.0,35.8,0.1494,Ideal Success
M0329,0.1024,0.0014,38.4,-0.0056,General Improvement
M0330,0.164,0.0,21.6,0.435,Ideal Success
M0331,0.1268,0.0,26.2,0.497,Ideal Success
M0332,0.1663,0.0,35.9,0.2022,Ideal Success
M0333,0.1452,0.0,27.2,-0.1865,Exam Mismatch
M0334,0.0793,0.0001,38.9,-0.1231,Exam Mismatch
M0335,0.1632,0.0,33.0,-0.5315,Exam Mismatch
M0336,0.118,0.0,36.9,0.3323,Ideal Success
M0337,0.1097,0.0,25.0,0.0121,General Improvement
M0338,0.0638,0.0188,37.2,-0.2052,Exam Mismatch
M0339,0.1546,0.0,33.8,-0.2931,Exam Mismatch
M0340,0.0758,0.0002,31.0,-0.2396,Exam Mismatch
M0341,0.0682,0.002,25.2,0.0753,General Improvement
M0342,0.1269,0.0,34.3,-0.0671,General Improvement
M0343,0.1007,0.0,37.0,-0.357,Exam Mismatch
M0344,0.1791,0.0,36.4,0.1908,Ideal Success
M0345,0.1399,0.0,29.9,0.1526,Ideal Success
M0346,0.1469,0.0,29.9,-0.0778,General Improvement
M0347,0.0584,0.0037,39.1,0.072,General Improvement
M0348,0.0494,0.0279,30.9,0.1439,Ideal Success
M0349,0.0768,0.0007,31.6,-0.4701,Exam Mismatch
M0350,0.1414,0.0,42.3,0.2384,Ideal Success
M0351,0.0966,0.0,42.5,0.2329,Ideal Success
M0352,0.098,0.0,38.7,0.1576,Ideal Success
M0353,0.105,0.0,34.7,-0.424,Exam Mismatch
M0354,0.089,0.0001,23.5,-0.7191,Exam Mismatch
M0355,0.1481,0.0,39.7,0.4662,Ideal Success
M0356,0.1198,0.0,37.9,-0.1794,Exam Mismatch
M0357,0.0815,0.0,36.0,-0.0257,General Improvement
M0358,0.1942,0.0,35.9,0.9312,Ideal Success
M0359,0.1146,0.0,31.4,0.1204,Ideal Success
M0360,0.094,0.0108,39.2,0.0863,General Improvement
M0361,0.1474,0.0,32.1,0.1705,Ideal Success
M0362,0.0758,0.0001,37.6,0.1993,Ideal Success
M0363,0.0986,0.0,30.7,0.0427,General Improvement
M0364,0.0246,0.3706,36.3,0.2316,Inconclusive Results (No Significant Change)
M0365,0.0837,0.0001,46.1,-0.2462,Exam Mismatch
M0366,0.0369,0.1723,40.0,-0.2181,Inconclusive Results (No Significant Change)
M0367,0.0916,0.0001,36.1,-0.1087,Exam Mismatch
M0368,0.1693,0.0,29.0,-0.6679,Exam Mismatch
M0369,0.163,0.0,27.3,-0.6378,Exam Mismatch
M0370,0.1807,0.0,38.3,0.0003,General Improvement
M0371,0.1048,0.0,32.0,0.3832,Ideal Success
M0372,0.1631,0.0,42.8,-0.0173,General Improvement
M0373,0.1215,0.0,36.0,0.3171,Ideal Success
M0374,0.1327,0.0,34.5,0.0285,General Improvement
M0375,0.0834,0.0001,30.7,-0.3638,Exam Mismatch
M0376,0.1579,0.0,38.8,-0.7627,Exam Mismatch
M0377,0.1221,0.0,39.4,-0.0463,General Improvement
M0378,0.1175,0.0,38.9,-0.0629,General Improvement
M0379,0.08,0.0012,32.7,-0.2413,Exam Mismatch
M0380,0.0619,0.0365,23.5,-0.226,Exam Mismatch
M0381,0.1363,0.0,36.1,0.4409,Ideal Success
M0382,0.1299,0.0,43.1,-0.0404,General Improvement
M0383,0.1539,0.0,27.7,-0.0803,General Improvement
M0384,0.0303,0.1917,35.7,-0.1404,Inconclusive Results (No Significant Change)
M0385,0.1481,0.0,48.8,0.3123,Ideal Success
M0386,0.0507,0.0224,35.9,0.2545,Ideal Success
M0387,0.1036,0.0,32.7,-0.1063,Exam Mismatch
M0388,0.0619,0.017,26.1,0.1107,Ideal Success
M0389,0.1131,0.0,34.3,0.0491,General Improvement
M0390,0.0674,0.0021,37.0,-0.1115,Exam Mismatch
M0391,0.1175,0.0,35.7,0.1738,Ideal Success
M0392,0.1254,0.0,35.1,-0.0658,General Improvement
M0393,0.1134,0.0,36.1,-0.0905,General Improvement
M0394,0.137,0.0,35.9,-0.111,Exam Mismatch
M0395,0.1209,0.0,22.9,-0.1803,Exam Mismatch
M0396,0.1581,0.0,30.6,0.3799,Ideal Success
M0397,0.1178,0.0,42.2,-0.1422,Exam Mismatch
M0398,0.1852,0.0,26.6,0.1962,Ideal Success
M0399,0.1069,0.0,32.2,-0.2334,Exam Mismatch
M0400,0.1094,0.0,40.8,0.1652,Ideal Success
M0401,0.1232,0.0,34.5,-0.5188,Exam Mismatch
M0402,0.1283,0.0,34.4,0.4699,Ideal Success
M0403,0.092,0.0057,32.8,0.0434,General Improvement
M0404,0.1542,0.0,40.0,0.36,Ideal Success
M0405,0.1421,0.0,29.9,0.1883,Ideal Success
M0406,0.0981,0.0,29.9,0.0771,General Improvement
M0407,0.0578,0.0339,32.8,0.0531,General Improvement
M0408,0.115,0.0,45.0,0.1272,Ideal Success
M0409,0.2094,0.0,30.4,-0.5632,Exam Mismatch
M0410,0.0759,0.0007,40.0,0.0555,General Improvement
M0411,0.112,0.0,27.4,0.3411,Ideal Success
M0412,0.0942,0.0,33.9,-0.0304,General Improvement
M0413,0.2064,0.0,37.0,0.3371,Ideal Success
M0414,0.1478,0.0,34.7,-0.2557,Exam Mismatch
M0415,0.1166,0.0,39.3,0.4666,Ideal Success
M0416,0.17,0.0,30.2,0.2274,Ideal Success
M0417,0.0526,0.0238,42.8,-0.1026,Exam Mismatch
M0418,0.1586,0.0,28.9,-0.0782,General Improvement
M0419,0.1096,0.0,35.2,-0.2181,Exam Mismatch
M0420,0.1263,0.0,41.1,-0.1318,Exam Mismatch
M0421,0.1397,0.0,21.5,-0.3282,Exam Mismatch
M0422,0.1315,0.0,30.0,0.1323,Ideal Success
M0423,0.1156,0.0001,37.7,0.0361,General Improvement
M0424,0.1814,0.0,30.1,0.1555,Ideal Success
M0425,0.1107,0.0001,37.7,-0.5836,Exam Mismatch
M0426,0.1173,0.0,38.6,0.2024,Ideal Success
M0427,0.0977,0.0,37.6,0.4033,Ideal Success
M0428,0.0757,0.0026,46.8,0.3333,Ideal Success
M0429,0.1175,0.0,36.1,0.0254,General Improvement
M0430,0.0928,0.0,36.1,-0.2461,Exam Mismatch
M0431,0.1161,0.0,28.8,0.2165,Ideal Success
M0432,0.1911,0.0,35.3,-0.3378,Exam Mismatch
M0433,0.155,0.0,27.7,-0.3086,Exam Mismatch
M0434,0.0892,0.0001,34.1,0.129,Ideal Success
M0435,0.1685,0.0,33.6,0.1026,Ideal Success
M0436,0.142,0.0,34.0,-0.3753,Exam Mismatch
M0437,0.1284,0.0,40.5,-0.2136,Exam Mismatch
M0438,0.127,0.0,31.0,-0.1935,Exam Mismatch
M0439,0.1227,0.0,43.3,0.3924,Ideal Success
M0440,0.1582,0.0,41.5,0.2643,Ideal Success
M0441,0.1251,0.0,26.1,-0.2163,Exam Mismatch
M0442,0.0844,0.0012,34.9,0.1598,Ideal Success
M0443,0.0702,0.0005,35.3,0.0967,General Improvement
M0444,0.1613,0.0,32.7,0.7663,Ideal Success
M0445,0.0911,0.0007,25.0,-0.0275,General Improvement
M0446,0.1171,0.0,41.4,0.088,General Improvement
M0447,0.1788,0.0,35.0,-0.1561,Exam Mismatch
M0448,0.1092,0.0,36.0,0.3327,Ideal Success
M0449,0.0835,0.0,39.1,0.0207,General Improvement
M0450,0.1423,0.0,41.2,0.209,Ideal Success
M0451,0.2104,0.0,35.9,-0.5618,Exam Mismatch
M0452,0.0843,0.0003,45.8,-0.2293,Exam Mismatch
M0453,0.09,0.0,31.7,-0.1439,Exam Mismatch
M0454,0.0474,0.0088,24.0,-0.0791,General Improvement
M0455,0.1402,0.0,42.6,0.5335,Ideal Success
M0456,0.1134,0.0,36.4,-0.1953,Exam Mismatch
M0457,0.1092,0.0,42.5,0.0479,General Improvement
M0458,0.1271,0.0,30.9,-0.1799,Exam Mismatch
